rao,f1,Dataset/TestFunctions/Range100/
65245.323771306,186
53457.05997059,193
65200.332281261,187
65057.840208852,171
56813.766615052,169
58164.097494045,157
63468.790162651,156
53286.245063599,152
63871.461582647,158
55634.519787109,155
67937.735571156,156
61002.69700338,158
55825.842950395,173
65341.860301289,171
60411.441588374,171
60108.79351818,173
52062.946808397,173
68290.08923509,156
59680.469814726,157
54384.913160011,156
58806.876417586,155
61079.059387768,152
65205.207113472,157
66541.776906292,158
69351.148573462,163
63099.014432507,169
62297.227440813,168
56105.822837585,167
58198.972708251,170
57740.27205735,163
Average: 60789.053492106
 
rao,f2,Dataset/TestFunctions/Range10/
-4.9392607807705E+68,229
-1.2058031798248E+89,192
-9.8436284195604E+74,194
-1.3430923946241E+85,198
-2.1720342816309E+79,196
-2.0339234106554E+79,203
-1.4463066238859E+80,198
-1.5041873606757E+75,193
-1.0517342403764E+74,203
-2.0754545774425E+74,195
-1.0369594041379E+70,200
-1.2935915117144E+94,197
-2.2605166871625E+74,195
-1.0151259597647E+70,196
-1.425143077758E+75,200
-6.6958429829776E+73,199
-1.6618497053008E+80,199
-1.3037664034412E+79,197
-3.2280618474178E+85,199
-2.4942723870866E+78,196
-2.9713232025963E+74,195
-9.5649556609606E+74,199
-2.0407237481141E+79,202
-8.2256555528891E+75,195
-2.1877379714973E+75,199
-1.5902074322375E+78,194
-4.2067060364065E+79,195
-9.6835416675259E+80,203
-1.2330073323018E+70,195
-2.062424900353E+69,202
Average: -4.3120119143917E+92
 

rao,f3,Dataset/TestFunctions/Range100/
878694.857979,369
928706.60047999,373
965168.27579373,382
846312.03452424,380
843371.49367865,402
784136.49112902,401
913170.58230206,401
758792.58134432,403
771648.30348532,379
796433.61380447,385
939200.93807667,385
883160.72133581,381
842318.30392204,393
873068.36221195,401
889358.48967305,377
948362.74131326,382
876084.71642059,362
1043269.5389255,368
958715.10160321,371
786958.4142293,381
899962.33059532,388
887905.38297143,389
895791.19723507,406
792296.1820609,396
950117.77995055,380
863695.10516428,5733
894475.94924844,413
741188.56781127,532
722532.05264566,405
947412.84959966,413
Average: 870743.65198383
 
rao,f4,Dataset/TestFunctions/Range100/
84.485434902872,44
80.73940219861,43
86.849016883373,41
86.032138687299,46
83.096896643903,48
75.685277058443,46
88.107221575364,48
90.498147520483,43
83.616857945834,61
83.257938629788,48
79.96792438236,52
81.651297296873,58
82.572505868479,45
76.703605861973,44
82.061930470142,41
87.241821478392,44
80.705762876536,42
82.908481824514,46
82.125181554773,38
88.619686413281,50
84.417683057151,45
85.382818315072,37
81.919075625087,39
81.947882061097,41
83.985605476538,38
81.135026174241,39
83.904448514615,37
81.508385512698,44
84.758831729711,44
83.28476679302,40
Average: 83.305701777751
 
rao,f5,Dataset/TestFunctions/Range30/
84981833.514754,207
38107768.78125,220
